firm year DPS_Dummy risk growth mb size cash lev cr re roa tax fix age liquid
1 2015 1 0.0036 0.0807 1.5747 18.7207 0.0422 0.4439 0.7264 0.386 0.1879 0.1899 0.5539 2.4849 0.0432
1 2016 1 0.0867 0.0672 18.9146 18.8599 0.1012 0.4966 0.5731 0.1261 0.1849 0.1794 0.5844 2.5649 0.0016
2 2016 0 0 0.6856 0.8078 13.4044 0.0054 0.4875 0.3267 -8.3755 0.0014 0.2483 0.8456 4.0073 0.0031
3 2012 1 0.0557 0.2801 2.5985 11.9666 0.0629 0.7047 0.4087 0.5267 0.1426 0.1003 0.72 2.7081 0.1286
3 2013 1 0.4044 0.2663 4.3591 12.2026 0.0462 0.6734 0.8495 0.3356 0.125 0.0998 0.713 2.7726 0.2577
3 2014 1 0.7347 0.7063 2.4718 12.9116 0.0674 0.378 1.2425 0.1854 0.0971 0.0786 0.7298 2.8332 0.2179
3 2015 1 0.2998 0.7591 2.251 13.4648 0.1142 0.5643 0.5987 0.3206 0.0861 0.0614 0.7273 2.8904 0.0478
3 2016 1 0.457 0.5814 2.0922 14.0954 0.0439 0.5292 0.6377 1.7909 0.0584 0.0994 0.5508 2.9444 0.0074
4 2015 1 0.1949 0.0843 1.3745 13.6194 0.018 0.7214 1.2877 0.3405 0.1166 0.159 0.0596 2.6391 0.5981
4 2016 1 0.9836 -0.407 1.4968 13.6227 0.0064 0.7472 1.2504 5.1548 0.0209 0.2167 0.0565 2.7081 0.1041
5 2009 1 0.047 0.6236 2.0442 13.3187 0.0253 0.5907 1.5443 0 0.2409 0.2234 0.1139 3.4965 0.2592
5 2010 1 0.1631 -0.0371 2.5455 13.5282 0.0261 0.5523 1.7217 0.6698 0.2152 0.2236 0.1974 3.5264 0.1386
5 2011 1 0.0438 0.1334 2.0093 13.7204 0.0054 0.534 1.7232 0.6733 0.2086 0.2274 0.2057 3.5553 0.0325
5 2012 1 0.1684 0.307 1.3964 14.0652 0.0251 0.5475 1.6352 0.6196 0.1862 0.2248 0.165 3.5835 0.0292
5 2013 1 0.4325 0.7825 2.5818 14.3805 0.039 0.4414 2.1723 0.7193 0.3195 0.2142 0.1057 3.6109 0.3642
5 2014 1 0.0201 0.2858 2.1734 14.5855 0.0161 0.4382 2.0924 0.7273 0.3035 0.224 0.1012 3.6376 0.089
5 2015 1 0.0396 0.209 2.7765 14.8636 0.0086 0.4065 2.2263 0.707 0.3259 0.2247 0.0953 3.6636 0.0508
